economy,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
CRI,5.8231265333186,7.62843539507747,7.92850433097117,8.33742597856098,7.90900698278232,5.25151067245965,5.06371170213526,6.39172539644787,5.70866124854743,6.29127735209415,6.23293662208767,5.23639457671538,4.45296211770326,4.83327522078441,4.829438721344,4.22094016659811,3.37043523313038,5.53072986406838,5.4175310653788,5.4191807109794,5.55680052586902
CSS,6.28508218802429,6.69401138022517,6.55647307070313,6.09318576846857,9.16134161582968,5.29267167797249,4.68462421397548,3.74989721701898,0.640356613895504,0.839851234339379,3.86459317212514,3.20051424087611,3.18454919035672,1.50095759823363,3.44440050917286,7.01505209394828,6.64034388356222,4.21254201462852,-0.397301239631366,-1.57808665663235,10.6792439839521
CUB,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,2.40614386605524,2.31350889001072,-0.0497229528681824,2.26501702747432,4.78739209486991,4.39991505278562,5.69261131262937,4.16644113125828,6.71586643004897,6.14534824657672,6.23861045205909,5.71077944316966,4.16291089883125,4.347105970852
CYM,,,590.934129587437,631.63409905905,426.427226529901,474.06347248168,504.372474529354,743.700693196734,500.805925798403,792.31979140556,1009.0310578527,1709.82722352518,54.6762797370938,48.515881955007,3.13994473836616,18.1830873442761,123.314001465062,-13.3283722401281,-47.2171219717417,93.7235744543564,
CYP,6.459620091748,6.30362669067508,9.32556556614527,9.57345612845137,44.545975103769,252.667773383487,125.272737889578,151.736934875441,289.858110901793,108.090316098148,233.165753265091,137.220682764776,15.8272269765313,184.054282581805,307.086731038445,431.788470101997,-296.013199232631,21.8171172987562,0.17262361266281,-63.1546692723109,-133.824278977736
CZE,5.34629831368761,10.0027291342114,4.56488300562003,7.26984053281639,3.72734017480649,2.54701925348654,4.81502985527419,1.80994155301699,4.48424380759869,3.45386726376292,3.83510153423089,0.898913491904098,5.47566421423918,5.07066240955503,3.30353998283407,4.18705737619001,3.39114066226469,4.43029524586196,3.02937517288668,3.4462419046487,3.76083530894919
DEU,-0.715503012520614,2.06799391408494,2.87049561649648,1.4594247021417,0.81284475683707,1.63004671127687,2.48154528887853,2.55089499875415,1.8196411156431,1.76515036525359,0.437762571704246,1.82239938063641,1.64365840117303,2.88914588414184,4.00082875273687,1.9056930139782,4.48523547812751,2.93002168676674,2.07605246190373,1.69740103499567,1.01586176558023
DJI,5.78669482576557,3.13326292887826,14.0839401368509,23.0388936446947,22.785843817934,9.2325515288363,3.23415329697175,6.37538483893525,8.1261509172004,13.9893763417185,6.88983261287099,5.93271216592944,6.1420623506391,5.97013597143086,5.83497725047345,5.66550441566635,5.03254315668511,4.91482788768696,5.24930012962196,3.51446231641349,1.63337101411676
DMA,6.49739806247027,4.83084578819671,6.28236832373597,9.08254423496638,11.7112903770296,11.0100917882515,10.9887086593887,9.48510899097882,10.823245661111,7.09315981024728,2.15759020953855,1.22782053461875,6.89801855079428,4.02538103514499,12.4606230458607,9.78484788732394,4.31749235024332,5.0343144105378,2.71598643499556,7.2826833844529,8.70431929375585
