Country,Year,Agri_GDP,Elec_Access,FDI_GDP,GDPC_2015,Indus_GDP,Internet_Usage,Serv_GDP
RUS,2013,2.99360048776678,100.0,3.01940211363344,9601.537109375,28.1912891799352,67.97,56.121604545822
RUS,2014,3.36060548804252,100.0,1.0698764102333,9493.8125,27.9315270606099,70.5176,55.6848306883462
RUS,2015,3.87310448732299,95.5,0.502607961400285,9277.7138671875,29.7940599874349,70.0992,56.1424909685464
RUS,2016,3.84021728459951,99.4,2.54849998807899,9269.3193359375,29.1739050669208,73.0914,57.012325152629
RUS,2017,3.55363208990976,100.0,1.81409297475419,9418.9140625,30.6732968853437,76.0081,56.0327684706108
RUS,2018,3.3942533806976,100.0,0.530060790633169,9674.787109375,32.5542980530841,80.8647,53.428805517337
RUS,2019,3.53030291392166,99.8,1.88851731564914,9882.0244140625,32.1504958365379,82.6422,54.1729442140787
RUS,2020,4.00635163401546,99.9,0.634851184443604,9632.3251953125,29.7171245814295,84.9947,56.3729429025777
RUS,2021,3.67156378990517,100.0,2.21136527873962,10231.318359375,31.7859991548592,88.2138,54.205491260364
RUS,2022,3.42029353612808,100.0,-1.73680981421063,10119.0625,32.2301435685138,90.418,55.130009073009
RUS,2023,2.97223589780661,100.0,-0.484918766027148,10562.0263671875,30.4081329218998,92.245,56.7354628143178
RWA,2004,33.895261824051,8.7,0.324006427230548,418.780997277457,14.5850139685545,0.430854,42.4570134790914
RWA,2005,33.7756165293022,4.8,0.271318643761601,446.029809636404,14.9498202744611,0.556041,42.5382621808924
RWA,2006,30.026108002825,11.4,0.923071050017332,474.364599463307,15.8329921631119,2.0449284099999994,45.2049075365036
RWA,2007,26.068484121694,12.8,2.02144725253631,497.171622130545,16.7334821839077,2.11539,48.1958467944348
RWA,2008,24.7805133299176,6.0,1.97476605952382,538.325372065592,16.2638385339331,4.5,49.309864191162
RWA,2009,25.3575273279149,15.6,2.0912940636988,557.397804859216,15.6885811871245,7.7,49.5103472767103
RWA,2010,24.3144893985439,9.7,3.52981463633808,583.371416419483,16.328981915635,8.0,49.8792967990238
RWA,2011,23.8371959544057,10.8,1.62859755954292,614.539650123021,18.1678448507507,7.0,47.8976422904983
RWA,2012,24.765432008534,17.5,3.52219420805752,651.852818665834,18.2255034210874,8.02385,48.8490732798953
RWA,2013,24.9203167464094,15.2,2.98932057367113,666.408788783175,17.6168559784511,9.0,49.800841592671
RWA,2014,24.6883207854521,19.8,3.81112336248267,690.610394944356,17.5513834863908,10.6,49.2213441044684
RWA,2015,23.9810045274251,22.8,1.89710171173713,733.998629882494,17.4466631881327,12.5,49.7430202653232
RWA,2016,25.1527094826327,29.4,3.21723490346275,759.606288155109,16.8369912939315,14.6,49.2882419165261
RWA,2017,26.3454376635445,34.1,2.96153582649288,771.069237513582,17.2842232487373,17.2,47.8764811281534
RWA,2018,24.6227246165566,38.0,3.79950138241727,817.578437300032,17.3499797528636,19.2,49.6894821626552
RWA,2019,23.560629300383,46.6,2.54289979218123,874.639658935978,18.8647459714312,21.358,49.0985649554223
RWA,2020,26.6559195496967,45.2,1.49998346928248,826.391307701022,18.6382750394843,23.8,46.5785096073841
RWA,2021,24.0706966220179,48.7,2.10659286861252,896.271033574985,20.4522932693169,24.4416,47.647336269549
RWA,2022,24.886975847496,50.6,2.29121488787355,948.413686948024,21.2695312277805,31.2252,46.4685596596172
RWA,2023,26.612127488198,63.9,3.19322395833009,1004.33216650024,20.703253350416,34.2005,45.7143367527107
SAU,2004,3.86835593326895,100.0,-0.129209725410009,21545.894988606,56.7056209373966,10.2345,38.5165977348877
SAU,2005,3.1854016709851,100.0,1.33515850333851,21838.1915349374,61.7372362527229,12.705,34.2555195076907
SAU,2006,2.91996194095464,100.0,1.58553602335569,21616.3355772516,62.5369910258018,19.4596,33.7619580996266
SAU,2007,2.74276747836675,100.0,1.48457884530209,21196.7926036633,62.6934226825684,30.0,33.8067662415393
SAU,2008,2.29269078480924,100.0,1.05925699592349,21629.8405734551,66.4293431587112,36.0,30.5115127039387
SAU,2009,2.83043433137553,100.0,0.10169038708409,20577.5453445336,54.6450009539393,38.0,41.723193527879
SAU,2010,2.61912238524459,100.0,0.923670092367435,21830.1424272816,58.0314401714882,41.0,38.6088698481102
SAU,2011,2.15288829129967,100.0,0.688133631504519,23314.5576023168,63.0803869808085,47.5,34.0894612999603
SAU,2012,2.06209514825132,100.0,0.669626013751334,23643.0358324647,61.9428982819125,54.0,35.2326927816917
SAU,2013,2.14783287096443,100.0,0.437984195574321,23057.3494468535,58.9702568849547,60.5,38.1484481310781
SAU,2014,2.27940419211986,100.0,0.191711517264834,23404.7306039825,56.1653404810043,64.7137,40.7584259766165
SAU,2015,2.75387031670143,100.0,0.572622097928938,23256.1549553531,44.6011697093878,69.6162,51.6451922544441
SAU,2016,2.91802299444676,99.9,3.18518611850268,22783.0328538685,42.5305962013279,74.8793,53.5509157775579
SAU,2017,2.83525700890872,100.0,0.136801407151884,23035.1199977707,44.8899324686986,94.1756,51.4336551370844
SAU,2018,2.41396154385256,99.9,1.36945683303735,24393.5188306638,49.0147439495304,93.31,46.0223400101906
SAU,2019,2.45384656461481,100.0,0.346411455797861,24905.6697428558,45.7234459871756,95.7247,49.0640913102722
SAU,2020,2.95556974627207,100.0,0.211115523412857,22827.671935548,38.3004545080469,97.8623,54.5874963582755
SAU,2021,2.44812792691627,100.0,2.8850612174452,24922.6716948944,45.957331100123,100.0,45.8018349629672
SAU,2022,2.21479159080364,100.0,2.1556449627378,26706.917926066,53.1237705884733,100.0,40.2066530479076
SAU,2023,2.457692991125,100.0,1.87131032249407,25634.8237547841,47.6053309500947,100.0,44.7549856751834
SDN,2004,34.0060768565709,30.2,5.67090591014718,1255.67114257813,21.4151752034683,0.791562,19.6136870640777
SDN,2005,33.199920468691,30.5,4.4387993666553,1290.24438476563,21.9763462611458,1.29204,17.9950722184399
SDN,2006,31.8201079594306,30.8,4.06910716037147,1336.1240234375,22.9778613068907,7.993604569999997,19.855472715377
SDN,2007,35.6675143701418,31.1,2.53091571467554,1372.10961914063,26.3285235935348,8.66,10.8761534344019
SDN,2008,36.1831633212385,20.0,2.54980980762297,1381.62561035156,28.2073396404398,9.048652249999998,15.4985357509151
SDN,2009,33.5066805707755,29.0,3.3441756822644,1301.34729003906,25.6508731569437,8.04899436,26.4598144889249
SDN,2010,31.8522211122842,36.0,3.50004539535845,1311.22314453125,21.1420469221691,12.71767782,30.8333184053026
SDN,2011,27.8476934681736,38.3,3.15234852962884,1388.21813964844,20.3300649001863,14.112712320000004,38.0051092550931
SDN,2012,33.774624171049,40.7,6.14212434699966,1288.25854492188,17.6175266828595,13.418394729999996,46.0544465200986
SDN,2013,29.6076364571032,43.1,3.92312074519106,1283.45922851563,20.2367455588648,8.391987873999998,45.8278881004255
SDN,2014,32.6242708162674,44.9,2.52698516017578,1307.3896484375,18.1004960644315,10.286167719999995,46.0569229388561
SDN,2015,31.5564513257888,48.0,3.34135261447755,1292.37963867188,16.0712107361815,7.678781624000001,48.7681406482026
SDN,2016,22.9775814159681,50.5,2.49532759301928,1297.15454101563,17.3546057080676,14.1,50.1460202462207
SDN,2017,21.2305403131037,53.0,2.58043876395005,1261.87353515625,16.6174079698297,18.6,51.3685771317033
SDN,2018,21.9934731580502,55.3,3.51269523880448,1185.94445800781,20.7757619010592,24.6,51.2947649245208
SDN,2019,20.1640153484443,57.6,2.55226968828806,1126.55297851563,21.7363013265282,25.9,37.6356278206897
SDN,2020,20.3208627544265,59.7,2.65193447042229,1056.86474609375,23.3281861554993,26.4383,36.2433523276631
SDN,2021,6.35709212800824,61.8,1.52754029838982,1009.54888916016,7.36874367318585,29.844050900000006,9.68548551361181
SDN,2022,5.03129266150122,63.2,1.11000421594226,973.225280761719,4.8714017457712,37.067464600000015,6.4480676740207
SDN,2023,30.2756760074835,66.0,1.37399372870934,677.723205566406,28.3364187360641,10.004396069999997,41.3879052564524
SEN,2004,14.2017995388,36.8,1.36534663159615,1098.20064546027,25.0673709569857,4.38602,50.6690012194278
SEN,2005,15.1803964143562,47.1,1.52551294776184,1119.0505307548,23.6818582271971,4.78668,49.6862123536231
SEN,2006,13.3951515867003,49.9,2.47770837743402,1118.7830430051,23.4152166861911,5.61174,51.9152517286897
SEN,2007,12.2459105728806,48.1,2.51145667497291,1123.99862153285,23.6352865631739,6.89,53.2209644120259
